Bug ID,Description,Compiled,Crash Occurred
99d6c66dbbc484f50e1c,KASAN: use-after-free Read in em28xx_init_extension,✅,❌
be946efe33b2d9664348,INFO: task hung in do_read_cache_folio,✅,💥
5ad0824204c7bf9b67f2,UBSAN: shift-out-of-bounds in minix_statfs,✅,💥
b7be9429f37d15205470,KASAN: slab-use-after-free Read in __dev_queue_xmit,✅,❌
b2391895514ed9ef4a8e,KASAN: use-after-free Read in v4l2_fh_open,❌,❌
48135e34de22e3a82c99,general protection fault in corrupted,✅,❌
c025d34b8eaa54c571b8,KASAN: use-after-free Read in v4l2_fh_init,❌,❌
554ccde221001ab5479a,KASAN: use-after-free Read in ccid2_hc_tx_packet_recv,❌,❌
092bbab7da235a02a03a,KASAN: null-ptr-deref Write in sys_io_uring_register,✅,💥
8e4be574cb8c40140a2a,KASAN: slab-use-after-free Read in do_sync_mmap_readahead,✅,❌
fd222bb38e916df26fa4,UBSAN: array-index-out-of-bounds in cfg80211_inform_bss_frame_data,✅,❌
d6e5c328862b5ae6cbfe,KASAN: use-after-free Read in finish_fault,✅,❌
19c19003e620c324e48f7f9bb53a0a514bfa005c,KASAN: slab-out-of-bounds Write in skb_copy_and_csum_bits,❌,❌
9afaf6749e3a7aa1bdf3,KASAN: wild-memory-access Read in get_futex_key,✅,💥
173cc8cfdfbbef6dd755,KASAN: slab-use-after-free Read in madvise_collapse,✅,❌
68771c0e74f7bb7804e5,KASAN: use-after-free Read in __vma_adjust,✅,💥
598057afa0f49e62bd23,KASAN: slab-out-of-bounds Read in ntfs_utf16_to_nls,❌,❌
daba72c4af9915e9c894,KASAN: slab-use-after-free Read in __free_filter,✅,❌
8d075c0e52baab2345e2,KASAN: use-after-free Read in sysv_new_inode,❌,❌
c19a171264b968bf389b,KASAN: slab-out-of-bounds Read in shrink_folio_list,✅,❌
b5eb72a560b8149a1885,KASAN: slab-use-after-free Read in do_check,✅,❌
4c882a4a0697c4a25364,KASAN: slab-use-after-free Read in handle_mm_fault,❌,❌
029d1989099aa5ae3e89,UBSAN: shift-out-of-bounds in __bch2_btree_node_hash_insert,✅,❌
cfd994b9cdf00446fd54,UBSAN: shift-out-of-bounds in __bch2_bkey_unpack_key,✅,❌
bfaeaa8e26281970158d,KASAN: use-after-free Read in poly1305_update,✅,❌
e2df3a66f7d16fa6ec55,KASAN: null-ptr-deref Write in l2cap_sock_resume_cb,✅,❌
feb0dc579bbe30a13190,KASAN: slab-use-after-free Read in mgmt_remove_adv_monitor_complete,❌,❌
e04e2c007ba2c80476cb,KASAN: slab-use-after-free Read in rose_get_neigh,❌,❌
5fe2d5bfbfbec0b675a0,KASAN: slab-out-of-bounds Read in hci_cmd_sync_alloc,❌,❌
1134d3a5b062e9665a7a,VFS: Busy inodes after unmount (use-after-free),✅,❌
b9704899e166798d57c9,KASAN: use-after-free Read in ocfs2_search_dirblock,✅,❌
8258d5439c49d4c35f43,KASAN: slab-out-of-bounds Read in mon_copy_to_buff,✅,❌
20282c1b2184a857ac4c,general protection fault in ocfs2_dx_dir_lookup_rec,❌,❌
430f9f76633641a62217,KASAN: slab-out-of-bounds Read in pause_parse_request,✅,❌
1c58afed1cfd2f57efee,KASAN: slab-use-after-free Read in move_pages_pte,✅,❌
14c52d86ddbd89bea13e,UBSAN: array-index-out-of-bounds in bch2_sb_downgrade_update,✅,❌
48240bab47e705c53126,KASAN: slab-use-after-free Write in recv_work,✅,❌
5138f00559ffb3cb3610,KASAN: slab-out-of-bounds Read in bch2_sb_members_v2_to_text,✅,❌
2887a13a5c387e616a68,KASAN: slab-use-after-free Read in bch2_bucket_alloc_trans,✅,❌
25b83a6f2c702075fcbc,KASAN: slab-out-of-bounds Read in iov_iter_revert,❌,❌
4af454407ec393de51d6,KASAN: slab-use-after-free Write in binder_remove_device,❌,❌
365005005522b70a36f2,KASAN: vmalloc-out-of-bounds Write in tpg_fill_plane_buffer,✅,❌
4851c19615d35f0e4d68,KASAN: use-after-free Write in __crypto_shash_import,✅,❌
b974bd41515f770c608b,UBSAN: array-index-out-of-bounds in add_missing_indices,✅,❌
4bcdddd48bb6f0be0da1,UBSAN: array-index-out-of-bounds in ieee80211_request_ibss_scan,✅,❌
d5204cbbdd921f1f7cad,UBSAN: shift-out-of-bounds in __kfifo_alloc,✅,💥
fe8264911355151c487f,UBSAN: shift-out-of-bounds in dbAllocAG,✅,❌
c52569baf0c843f35495,UBSAN: array-index-out-of-bounds in usbhid_parse,❌,❌
b12826218502df019f9d,KASAN: null-ptr-deref Read in gfs2_drop_inode,✅,❌
65761fc25a137b9c8c6e,UBSAN: shift-out-of-bounds in squashfs_bio_read,✅,❌
0c99c3f90699936c1e77,KASAN: use-after-free Write in ext4_insert_dentry,❌,❌
4d7cd7dd0ce1aa8d5c65,KASAN: slab-out-of-bounds Read in isofs_fh_to_parent,✅,❌
5f3a973ed3dfb85a6683,KASAN: slab-out-of-bounds Write in hfs_bnode_read_key,✅,❌
6105ffc1ded71d194d6d,KASAN: slab-use-after-free Read in key_put,✅,❌
683f8cb11b94b1824c77,general protection fault in skb_queue_purge_reason,✅,💥
d2a2c639d03ac200a4f1,UBSAN: array-index-out-of-bounds in bpf_prog_select_runtime,✅,💥
2deb10b8dc9aae6fab67,KASAN: slab-use-after-free Read in bchfs_read,✅,❌
a5964227adc0f904549c,KASAN: slab-out-of-bounds Read in atomic_ptr_type_ok,✅,❌
4e6e7e4279d046613bc5,KASAN: slab-out-of-bounds Read in ea_get,✅,❌
3cb3d9e8c3f197754825,KASAN: slab-out-of-bounds Read in validate_bset_keys,❌,❌
66c146268dc88f4341fd,KASAN: use-after-free Read in __ocfs2_find_path,✅,❌
0154da2d403396b2bd59,KASAN: slab-use-after-free Read in steam_input_open,❌,❌
1aa62e6852a6ad1c7944,KASAN: slab-use-after-free Read in afs_dynroot_readdir,❌,❌
2ff22910687ee0dfd48e,KASAN: slab-use-after-free Read in software_node_notify_remove,✅,❌
9120834fc227768625ba,UBSAN: array-index-out-of-bounds in dtReadFirst,❌,❌
31c2f641b850a348a734,KASAN: slab-use-after-free Read in l2cap_send_cmd,❌,❌
9c9179ac46169c56c1ad,KASAN: stack-out-of-bounds Read in usb_check_int_endpoints,✅,❌
7d9959e6503e8ffc8558,KASAN: vmalloc-out-of-bounds Write in vrealloc_noprof,✅,❌
9ba7a8cdae0440edd57b,KASAN: slab-use-after-free Read in binder_release_work,✅,❌
345e4443a21200874b18,KASAN: use-after-free Read in ring_buffer_map,❌,❌
0af00f6a2cba2058b5db,VFS: Busy inodes after unmount (use-after-free),✅,❌
96d5d14c47d97015c624,KASAN: use-after-free Read in nilfs_find_entry,✅,❌
7534f060ebda6b8b51b3,KASAN: vmalloc-out-of-bounds Read in acpi_nfit_ctl,✅,❌
85992ace37d5b7b51635,UBSAN: shift-out-of-bounds in iova_bitmap_alloc,✅,❌
2d9f5f948c31dcb7745e,KASAN: slab-out-of-bounds Read in selinux_ip_output,❌,❌
91cf8da9401355f946c3,KASAN: slab-use-after-free Read in __mmap_region,✅,❌
69f5379a1717a0b982a1,UBSAN: array-index-out-of-bounds in read_inline_xattr,✅,❌
6c8215822f35fdb35667,KASAN: slab-out-of-bounds Read in led_tg_check,✅,❌
d173bf8a5a7faeede34c,KASAN: slab-use-after-free Read in ocfs2_lock_global_qf,✅,❌
5cfae50c0e5f2c500013,UBSAN: array-index-out-of-bounds in mr_table_dump,✅,❌
03d6270b6425df1605bf,KASAN: slab-use-after-free Read in set_powered_sync,❌,❌
2313dda4dc4885c93578,KASAN: use-after-free Read in ocfs2_search_extent_list,✅,❌
61123a5daeb9f7454599,KASAN: out-of-bounds Read in copy_from_kernel_nofault,✅,❌
e4876215632c2d23b481,UBSAN: array-index-out-of-bounds in inline_xattr_addr,✅,❌
1dbb57d994e54aaa04d2,UBSAN: shift-out-of-bounds in flow_classify,❌,❌
f5e74075e096e757bdbf,KASAN: slab-out-of-bounds Read in f2fs_getxattr,✅,❌
fc519d7875f2d9186c1f,KASAN: slab-out-of-bounds Read in orangefs_debug_write,✅,❌
297b564354bb040396ad57079bb57523da2d2bab,KASAN: slab-out-of-bounds Read in nsim_dev_health_break_write,❌,❌
8d1206605b05ca9a0e6a,KASAN: slab-out-of-bounds Read in ovl_inode_upper,✅,❌
87b8e6ed25dbc41759f7,KASAN: null-ptr-deref Write in fuse_copy_do,✅,❌
6a3aa63412255587b21b,KASAN: use-after-free Write in __put_unused_fd,✅,❌
d796ad2656d5b38910ee,KASAN: use-after-free Read in reiserfs_fill_super,✅,❌
